Время;Работа;Расширенная информация;Ссылка;Компания;Город
" 6 дней назад
";Golang Developer, Traffic Management Solutions;" The client is the market leader in the development of DNS server software for traffic management. The DNS system created by this company is connected via...
";https://rabota.ua/company277662/vacancy7978235;DataArt;Харьков
" 6 дней назад
";Data Analyst;" Vodafone Україна - компанія світового рівня, що займає провідні позиції у сфері технологій та телекомунікацій, впроваджує інновації у всіх напрямках діяльності....
";https://rabota.ua/company806/vacancy8003783;Vodafone Україна ;Киев
" 6 дней назад
";Senior Python Developer, Financial Software Solutions;" THE POSITION OFFERS REMOTE WORK OPPORTUNITY. Our client is a New York City-based FinTech company that is building a software platform for the investment...
";https://rabota.ua/company277662/vacancy8009895;DataArt;Харьков
" 6 дней назад
";Data analyst;" We are looking for people willing to work in a fast-paced, solutions-oriented and creative environment. Requirements:Strong analytical and data interpretation...
";https://rabota.ua/company9517157/vacancy8010140;F3nix;Киев
" 6 дней назад
";Middle Python Developer;" Наш отдел web-разработки начинает работу над рядом новых интересных проектов и приглашает в новую команду Python-разработчиков с опытом работы. ЧТО МЫ...
";https://rabota.ua/company53660/vacancy6694138;NIX Solutions;Харьков
" 6 дней назад
";Senior Python developer;" We are looking for a Python developer. You will be involved in a project developed by the US product company. Requirements:3+ years of experience with...
";https://rabota.ua/company1260877/vacancy7962543;Quintagroup;Львов
" 6 дней назад
";Odoo developer. Python;" В связи с масштабированием компании и увеличением количества обращений от клиентов, ищем в команду «Odoo developer», который уже имеет успешный опыт работы...
";https://rabota.ua/company2394533/vacancy8003533;Talent Search;Киев
" 1 неделю назад
";Junior - Middle Python developer;" Starnavi is looking for a Middle Python developer to join our friendly team! We expect you to participate in both commercial and open-source projects....
";https://rabota.ua/company6150846/vacancy7449034;STARNAVI;Запорожье
" 1 неделю назад
";Back-end developer;" AIT is a web services company headquartered in North Carolina, USA. We also have a physical office in L'viv. You can learn more about our company here:...
";https://rabota.ua/company3296279/vacancy8009866;AIT, Inc.;Львов
" 1 неделю назад
";Python Developer;" AIT is a web services company headquartered in North Carolina, USA. We also have a physical office in L'viv. You can learn more about our company here:...
";https://rabota.ua/company3296279/vacancy8009865;AIT, Inc.;Львов
" 1 неделю назад
";Python Developer;" Join VARTEQ Digital Products team and help build an innovative eCommerce product that leverages machine learning technology and analyzes users' behavior...
";https://rabota.ua/company2870159/vacancy8009667;VARTEQ;Киев
" 1 неделю назад
";Jun/mid data scientist;" Мы - Artellence, продуктовая компания, миссия которой заключается в раскрытии потенциала использования больших данных из открытых источников. Мы одними...
";https://rabota.ua/company3308776/vacancy8006699;Artellence;Киев
" 1 неделю назад
";Strong Junior/Middle Python Developer;" About us: SECL Group is a fast-growing company specializing in software development and technical consulting services in multiple countries around the...
";https://rabota.ua/company899163/vacancy8006305;SECL Group / Internet Sales Technologies;Львов
" 1 неделю назад
";Python Developer;" Required skillsIF YOU ENJOY:Building data applications in a product company,working on fresh ideas to interesting challenges,... then you are in the right...
";https://rabota.ua/company6090551/vacancy8005971;StartUs Insights;Другие страны
" 1 неделю назад
";Python Developer;" Мы ожидаем от разработчика, что он:имеет опыт коммерческой разработки на Python от 3 до 6 лет;знает и умеет использовать: итераторы, генераторы, потоки;отлично...
";https://rabota.ua/company9642061/vacancy7975549;B2B DEVELOPERS;Киев
" 1 неделю назад
";Full Stack Developer удаленно;" Требования: Опыт в разработке - не менее 5 лет.Уверенные знания в PHP, Java, Python.Фреймворки: Laravel, vue, jango, YII.Работа с базами - MySQL, PostgreSQL,...
";https://rabota.ua/company6714815/vacancy8005006;Puzzle;Житомир
" 2 недели назад
";Django Back End Developer;" We're looking to hire a full-time full-stack developer for our company that would be remote based but would be committed to adhering to deadlines. We are...
";https://rabota.ua/company9791020/vacancy8003261;Digisol;Киев
" 2 недели назад
";Odoo/Python developer;" We are specializing in furniture e-commerce, we have 3 highload shops in Germany, our Headquarter is in South Germany Bawaria, in Kyiv we have a office...
";https://rabota.ua/company4112753/vacancy7927232;Electroco3000 / W3 Internet Services;Киев
" 2 недели назад
";Back-end Developer Python / Django | permanent;" Short Description: Sort Description: 3+ years Django Framework 3+ years PythonPrior experience working with Agile/Scrum ProcessSuperior software development...
";https://rabota.ua/company9776737/vacancy7999502;Talos Agency;Бровары
" 2 недели назад
";DevOps(Azure);" What's the Project?A digital health project that combines top-notch science research data and innovative technologies to help people diagnosed with cancer...
";https://rabota.ua/company3254493/vacancy7999089;HR Studio;Львов
